"Variable Code","Country or Area Code","Country or Area","Year(s) Code","Year(s)","Variant Code","Variant","Value"
"12","643","Russian Federation","135","2084","16","Instant replacement zero migration","136708.91"
"12","643","Russian Federation","135","2084","202","Median PI","116601.011"
"12","643","Russian Federation","135","2084","203","Upper 80 PI","131527.198"
"12","643","Russian Federation","135","2084","204","Lower 80 PI","100168.34"
"12","643","Russian Federation","135","2084","206","Upper 95 PI","140872.845"
"12","643","Russian Federation","135","2084","207","Lower 95 PI","91102.628"
"12","643","Russian Federation","134","2083","2","Medium","116940.031"
"12","643","Russian Federation","134","2083","3","High","150779.242"
"12","643","Russian Federation","134","2083","4","Low","88878.212"
"12","643","Russian Federation","134","2083","5","Constant fertility","104614.871"
"12","643","Russian Federation","134","2083","6","Instant replacement","146064.355"
"12","643","Russian Federation","134","2083","7","Zero migration","108451.9"
"12","643","Russian Federation","134","2083","8","Constant mortality","96882.376"
"12","643","Russian Federation","134","2083","9","No change","85000.227"
"12","643","Russian Federation","134","2083","10","Momentum","116192.02"
"12","643","Russian Federation","134","2083","16","Instant replacement zero migration","136581.067"
"12","643","Russian Federation","134","2083","202","Median PI","116940.031"
"12","643","Russian Federation","134","2083","203","Upper 80 PI","131649.477"
"12","643","Russian Federation","134","2083","204","Lower 80 PI","100762.457"
"12","643","Russian Federation","134","2083","206","Upper 95 PI","140763.421"
"12","643","Russian Federation","134","2083","207","Lower 95 PI","91935.994"
"12","643","Russian Federation","133","2082","2","Medium","117292.124"
"12","643","Russian Federation","133","2082","3","High","150259.141"
"12","643","Russian Federation","133","2082","4","Low","89813.128"
"12","643","Russian Federation","133","2082","5","Constant fertility","105322.26"
"12","643","Russian Federation","133","2082","6","Instant replacement","145784.537"
"12","643","Russian Federation","133","2082","7","Zero migration","108943.851"
"12","643","Russian Federation","133","2082","8","Constant mortality","97311.599"
"12","643","Russian Federation","133","2082","9","No change","85757.181"
"12","643","Russian Federation","133","2082","10","Momentum","116209.102"
"12","643","Russian Federation","133","2082","16","Instant replacement zero migration","136472.485"
"12","643","Russian Federation","133","2082","202","Median PI","117292.124"
"12","643","Russian Federation","133","2082","203","Upper 80 PI","131799.746"
"12","643","Russian Federation","133","2082","204","Lower 80 PI","101452.046"
"12","643","Russian Federation","133","2082","206","Upper 95 PI","140736.745"
"12","643","Russian Federation","133","2082","207","Lower 95 PI","92720.946"
"12","643","Russian Federation","132","2081","2","Medium","117656.213"
"12","643","Russian Federation","132","2081","3","High","149762.028"
"12","643","Russian Federation","132","2081","4","Low","90762.42"
"12","643","Russian Federation","132","2081","5","Constant fertility","106043.629"
"12","643","Russian Federation","132","2081","6","Instant replacement","145525.384"
"12","643","Russian Federation","132","2081","7","Zero migration","109448.269"
"12","643","Russian Federation","132","2081","8","Constant mortality","97743.174"
"12","643","Russian Federation","132","2081","9","No change","86519.946"
"12","643","Russian Federation","132","2081","10","Momentum","116232.198"
"12","643","Russian Federation","132","2081","16","Instant replacement zero migration","136384.32"
"12","643","Russian Federation","132","2081","202","Median PI","117656.213"
"12","643","Russian Federation","132","2081","203","Upper 80 PI","131975.512"
"12","643","Russian Federation","132","2081","204","Lower 80 PI","102029.679"
"12","643","Russian Federation","132","2081","206","Upper 95 PI","140695.264"
"12","643","Russian Federation","132","2081","207","Lower 95 PI","93460.314"
"12","643","Russian Federation","131","2080","2","Medium","118030.379"
"12","643","Russian Federation","131","2080","3","High","149285.109"
"12","643","Russian Federation","131","2080","4","Low","91724.481"
"12","643","Russian Federation","131","2080","5","Constant fertility","106777.163"
"12","643","Russian Federation","131","2080","6","Instant replacement","145286.559"
"12","643","Russian Federation","131","2080","7","Zero migration","109963.393"
"12","643","Russian Federation","131","2080","8","Constant mortality","98178.45"
"12","643","Russian Federation","131","2080","9","No change","87289.885"
"12","643","Russian Federation","131","2080","10","Momentum","116264.614"
"12","643","Russian Federation","131","2080","16","Instant replacement zero migration","136316.302"
"12","643","Russian Federation","131","2080","202","Median PI","118030.378"
"12","643","Russian Federation","131","2080","203","Upper 80 PI","132091.46"
"12","643","Russian Federation","131","2080","204","Lower 80 PI","102613.453"
"12","643","Russian Federation","131","2080","206","Upper 95 PI","140570.918"
"12","643","Russian Federation","131","2080","207","Lower 95 PI","94198.552"
"12","643","Russian Federation","130","2079","2","Medium","118417.124"
"12","643","Russian Federation","130","2079","3","High","148831.098"
"12","643","Russian Federation","130","2079","4","Low","92700.931"
"12","643","Russian Federation","130","2079","5","Constant fertility","107521.952"
"12","643","Russian Federation","130","2079","6","Instant replacement","145068.671"
"12","643","Russian Federation","130","2079","7","Zero migration","110491.587"
"12","643","Russian Federation","130","2079","8","Constant mortality","98622.321"
"12","643","Russian Federation","130","2079","9","No change","88068.451"
"12","643","Russian Federation","130","2079","10","Momentum","116309.741"
"12","643","Russian Federation","130","2079","16","Instant replacement zero migration","136269.082"
"12","643","Russian Federation","130","2079","202","Median PI","118417.124"
"12","643","Russian Federation","130","2079","203","Upper 80 PI","132197.712"
"12","643","Russian Federation","130","2079","204","Lower 80 PI","103276.451"
"12","643","Russian Federation","130","2079","206","Upper 95 PI","140378.568"
"12","643","Russian Federation","130","2079","207","Lower 95 PI","94986.8"
"12","643","Russian Federation","129","2078","2","Medium","118818"
"12","643","Russian Federation","129","2078","3","High","148401.32"
"12","643","Russian Federation","129","2078","4","Low","93692.65"
"12","643","Russian Federation","129","2078","5","Constant fertility","108276.955"
"12","643","Russian Federation","129","2078","6","Instant replacement","144872.027"
"12","643","Russian Federation","129","2078","7","Zero migration","111034.336"
"12","643","Russian Federation","129","2078","8","Constant mortality","99078.918"
"12","643","Russian Federation","129","2078","9","No change","88857.17"
"12","643","Russian Federation","129","2078","10","Momentum","116370.882"
"12","643","Russian Federation","129","2078","16","Instant replacement zero migration","136243.014"
"12","643","Russian Federation","129","2078","202","Median PI","118818"
"12","643","Russian Federation","129","2078","203","Upper 80 PI","132353.011"
"12","643","Russian Federation","129","2078","204","Lower 80 PI","103887.307"
"12","643","Russian Federation","129","2078","206","Upper 95 PI","140311.861"
"12","643","Russian Federation","129","2078","207","Lower 95 PI","95799.721"
"12","643","Russian Federation","128","2077","2","Medium","119232.643"
"12","643","Russian Federation","128","2077","3","High","147994.783"
"12","643","Russian Federation","128","2077","4","Low","94698.849"
"12","643","Russian Federation","128","2077","5","Constant fertility","109040.294"
"12","643","Russian Federation","128","2077","6","Instant replacement","144696.092"
"12","643","Russian Federation","128","2077","7","Zero migration","111591.33"
"12","643","Russian Federation","128","2077","8","Constant mortality","99551.357"
"12","643","Russian Federation","128","2077","9","No change","89657.581"
"12","643","Russian Federation","128","2077","10","Momentum","116451.327"
"12","643","Russian Federation","128","2077","16","Instant replacement zero migration","136237.62"
"12","643","Russian Federation","128","2077","202","Median PI","119232.643"
"12","643","Russian Federation","128","2077","203","Upper 80 PI","132541.304"
"12","643","Russian Federation","128","2077","204","Lower 80 PI","104599.197"
"12","643","Russian Federation","128","2077","206","Upper 95 PI","140239.517"
"12","643","Russian Federation","128","2077","207","Lower 95 PI","96651.005"
"12","643","Russian Federation","127","2076","2","Medium","119660.728"
"12","643","Russian Federation","127","2076","3","High","147610.471"
"12","643","Russian Federation","127","2076","4","Low","95718.736"
"12","643","Russian Federation","127","2076","5","Constant fertility","109810.471"
"12","643","Russian Federation","127","2076","6","Instant replacement","144540.712"
"12","643","Russian Federation","127","2076","7","Zero migration","112162.274"
"12","643","Russian Federation","127","2076","8","Constant mortality","100042.368"
"12","643","Russian Federation","127","2076","9","No change","90471.173"
"12","643","Russian Federation","127","2076","10","Momentum","116554.287"
"12","643","Russian Federation","127","2076","16","Instant replacement zero migration","136252.754"
"12","643","Russian Federation","127","2076","202","Median PI","119660.728"
"12","643","Russian Federation","127","2076","203","Upper 80 PI","132803.949"
"12","643","Russian Federation","127","2076","204","Lower 80 PI","105406.483"
"12","643","Russian Federation","127","2076","206","Upper 95 PI","140119.743"
"12","643","Russian Federation","127","2076","207","Lower 95 PI","97539.2"
"12","643","Russian Federation","126","2075","2","Medium","120100.789"
"12","643","Russian Federation","126","2075","3","High","147245.932"
"12","643","Russian Federation","126","2075","4","Low","96750.533"
"12","643","Russian Federation","126","2075","5","Constant fertility","110585.734"
"12","643","Russian Federation","126","2075","6","Instant replacement","144405.183"
"12","643","Russian Federation","126","2075","7","Zero migration","112745.795"
"12","643","Russian Federation","126","2075","8","Constant mortality","100553.73"
"12","643","Russian Federation","126","2075","9","No change","91299.38"
"12","643","Russian Federation","126","2075","10","Momentum","116682.57"
"12","643","Russian Federation","126","2075","16","Instant replacement zero migration","136287.753"
"12","643","Russian Federation","126","2075","202","Median PI","120100.789"
"12","643","Russian Federation","126","2075","203","Upper 80 PI","133081.116"
"12","643","Russian Federation","126","2075","204","Lower 80 PI","106110.292"
"12","643","Russian Federation","126","2075","206","Upper 95 PI","140040.22"
"12","643","Russian Federation","126","2075","207","Lower 95 PI","98303.68"
"12","643","Russian Federation","125","2074","2","Medium","120554.337"
"12","643","Russian Federation","125","2074","3","High","146902.677"
"12","643","Russian Federation","125","2074","4","Low","97794.507"
"12","643","Russian Federation","125","2074","5","Constant fertility","111364.594"
"12","643","Russian Federation","125","2074","6","Instant replacement","144288.73"
"12","643","Russian Federation","125","2074","7","Zero migration","113343.292"
"12","643","Russian Federation","125","2074","8","Constant mortality","101089.787"
"12","643","Russian Federation","125","2074","9","No change","92143.522"
"12","643","Russian Federation","125","2074","10","Momentum","116838.53"
"12","643","Russian Federation","125","2074","16","Instant replacement zero migration","136341.87"
"12","643","Russian Federation","125","2074","202","Median PI","120554.337"
"12","643","Russian Federation","125","2074","203","Upper 80 PI","133319.089"
"12","643","Russian Federation","125","2074","204","Lower 80 PI","106736.177"
"12","643","Russian Federation","125","2074","206","Upper 95 PI","140010.68"
"12","643","Russian Federation","125","2074","207","Lower 95 PI","99075.802"
"12","643","Russian Federation","124","2073","2","Medium","121020.281"
"12","643","Russian Federation","124","2073","3","High","146579.136"
"12","643","Russian Federation","124","2073","4","Low","98848.973"
"12","643","Russian Federation","124","2073","5","Constant fertility","112145.458"
"12","643","Russian Federation","124","2073","6","Instant replacement","144190.252"
"12","643","Russian Federation","124","2073","7","Zero migration","113953.695"
"12","643","Russian Federation","124","2073","8","Constant mortality","101652.248"
"12","643","Russian Federation","124","2073","9","No change","93004.746"
"12","643","Russian Federation","124","2073","10","Momentum","117024.13"
"12","643","Russian Federation","124","2073","16","Instant replacement zero migration","136413.988"
"12","643","Russian Federation","124","2073","202","Median PI","121020.281"
"12","643","Russian Federation","124","2073","203","Upper 80 PI","133607.899"
"12","643","Russian Federation","124","2073","204","Lower 80 PI","107509.432"
